City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
275,Knysna,ZA,77.38,overcast clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
281,Gharo,PK,62.82,clear sky,24.7424,67.5856,Fotis Lodge
282,New Norfolk,AU,60.71,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
288,Mount Isa,AU,74.97,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
291,Progreso,MX,80.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
292,Isabela,PH,77.05,overcast clouds,6.7085,121.9711,Isawad Resort
298,Siocon,PH,76.48,overcast clouds,7.7061,122.1353,ABS Hotel
300,Burnie,AU,60.93,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
304,Tanabi,BR,84.42,broken clouds,-20.6264,-49.6492,Point Hotel em Tanabi - SP
307,Gidam,IN,65.32,clear sky,18.9833,81.4,Dhanshree Lodge And DormItory
308,George Town,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
309,San Cristobal,VE,78.98,few clouds,7.7669,-72.225,Posada Villaven C.A.
312,Tsiroanomandidy,MG,67.98,moderate rain,-18.7667,46.0333,Hotel Ravinala
313,Buala,SB,80.87,light rain,-8.145,159.5921,Maringe Lagoon Lodge
314,Bonthe,SL,80.13,few clouds,7.5264,-12.505,Bonthe Holiday Village
316,Pontianak,ID,75.18,clear sky,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
317,Tadine,NC,78.76,few clouds,-21.55,167.8833,
322,Broken Hill,AU,74.91,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
324,Souillac,MU,82.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
325,Lucapa,AO,65.34,broken clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
326,Banswara,IN,60.94,clear sky,23.55,74.45,Deepak Hotel
327,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
331,Boca Do Acre,BR,74.17,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
336,Katobu,ID,75.92,broken clouds,-4.9408,122.5276,La Ode Husein
337,Maracacume,BR,82.9,broken clouds,-2.0428,-45.9592,Hotel Ramos
338,Necochea,AR,67.75,light rain,-38.5473,-58.7368,dyd -mar Hotel
340,Pilcaya,MX,78.53,few clouds,18.7333,-99.6833,Posada San Miguel
342,Sabang,ID,81.1,clear sky,5.8933,95.3214,Hotel Citra
345,Muisne,EC,82.51,scattered clouds,0.6,-80.0333,Quinta Samay
346,Port Augusta,AU,73.71,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
357,Mumford,GH,79.43,clear sky,5.2618,-0.759,Spanish Villa
359,Taltal,CL,71.24,clear sky,-25.4,-70.4833,Residencial Karime
361,Salinas,US,64.18,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
362,Sembakung,ID,72.88,broken clouds,3.8167,117.25,
363,Teofilo Otoni,BR,77.5,scattered clouds,-17.8575,-41.5053,Hotel Nobre Palace
365,Berberati,CF,75.63,broken clouds,4.2612,15.7922,MAIRIE DE BERBERATI
366,Chitipa,MW,62.11,overcast clouds,-9.7024,33.2697,Tulipoka Lodges
367,Victoria Point,AU,68.92,scattered clouds,-27.5833,153.3,Bay Retreat Motel
368,Orange Walk,BZ,78.66,scattered clouds,17.8333,-88.8333,
371,Moron,AR,80.96,broken clouds,-34.6534,-58.6198,Hotel Morón
375,Graaff-Reinet,ZA,82.92,clear sky,-32.2522,24.5308,Rietjiesbos Self Catering
379,Adrar,MR,71.58,broken clouds,20.5022,-10.0711,
387,Seminole,US,61.0,overcast clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
389,Beloha,MG,76.89,overcast clouds,-25.1667,45.05,
390,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
391,Hualmay,PE,75.94,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
393,Nabire,ID,75.2,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
398,Kununurra,AU,80.58,light rain,-15.7667,128.7333,Hotel Kununurra
399,Anloga,GH,84.42,clear sky,5.7947,0.8973,Pin Drop Hotel
402,Zhuhai,CN,65.86,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
404,Moroto,UG,70.47,overcast clouds,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
405,Teguise,ES,64.62,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
406,Batticaloa,LK,73.53,scattered clouds,7.7102,81.6924,Grand Star Guest House
410,Puerto Escondido,MX,84.6,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
416,Barentu,ER,69.98,few clouds,15.1139,37.5928,
417,Jaisinghnagar,IN,60.44,broken clouds,23.7,81.3833,Sonu Up Dhawa
418,Kabalo,CD,69.91,light rain,-6.05,26.9167,
421,Mongu,ZM,68.5,clear sky,-15.2484,23.1274,Country Lodge Mongu
422,Manta,EC,80.38,overcast clouds,-0.95,-80.7333,Balandra Hotel
424,Kieta,PG,79.7,light rain,-6.2167,155.6333,Uruna Bay Retreat
426,Chilca,PE,80.08,overcast clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
430,Vilhena,BR,79.02,light rain,-12.7406,-60.1458,Hotel Mirage
431,Kloulklubed,PW,81.36,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
434,Yenagoa,NG,81.59,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
436,Tucuma,BR,84.83,scattered clouds,-0.1833,-50.05,
439,Saint-Joseph,RE,80.98,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
440,Luwuk,ID,76.03,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
445,Badiraguato,MX,77.7,clear sky,25.3667,-107.5167,"Hotel ""Real Del Campo"""
446,Rumonge,BI,72.41,light rain,-3.9736,29.4386,Kwetu Guest House
448,Faxinal,BR,84.47,broken clouds,-24.0003,-51.3194,Hotel Pires
451,Akyab,MM,66.07,clear sky,20.15,92.9,Hotel Memory
452,Tandalti,SD,69.94,scattered clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
456,Butterworth,MY,82.0,few clouds,5.3991,100.3638,Cititel Penang
463,Vanimo,PG,76.95,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
468,Sangueya,GN,79.29,clear sky,10.7,-14.3667,
469,Bowen,AU,73.62,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
470,Alice Springs,AU,76.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
475,Chiredzi,ZW,75.07,overcast clouds,-21.05,31.6667,Clevers Hotel Chiredzi
476,Kavaratti,IN,79.45,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
477,Saint-Pierre,RE,82.08,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
479,Quatre Cocos,MU,82.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
482,San Jeronimo,PE,66.06,scattered clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
483,Arlit,NE,66.31,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
486,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
488,Sri Aman,MY,77.09,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
489,Marsh Harbour,BS,75.51,light rain,26.5412,-77.0636,Abaco Beach Resort
490,Moree,AU,66.22,scattered clouds,-29.4667,149.85,Molika Springs Motel
491,Kutum,SD,62.94,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
492,Cayenne,GF,75.24,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
495,Sambava,MG,77.74,light rain,-14.2667,50.1667,Melrose
496,Lazaro Cardenas,MX,83.95,few clouds,17.9583,-102.2,quinta antigua
497,Gushikawa,JP,63.99,light rain,26.3544,127.8686,Kirari Guest House
499,Laguna,US,68.34,scattered clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
502,Agadir,MA,75.65,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
503,Celestun,MX,77.34,broken clouds,20.8667,-90.4,Posada Lilia
505,Port Macquarie,AU,64.29,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
510,Meulaboh,ID,76.24,few clouds,4.1363,96.1285,Kost Pria
512,Comodoro Rivadavia,AR,80.46,few clouds,-45.8667,-67.5,Austral Hotel
513,Finschhafen,PG,78.4,overcast clouds,-6.6024,147.8681,Cossam Guest House
515,Maridi,SS,76.5,overcast clouds,4.9158,29.4742,
