City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Palu,ID,2022-01-18 01:03:41,-0.8917,119.8707,82.38,79,20,1.41
220,Lahij,YE,2022-01-18 01:03:42,13.1667,44.5833,69.31,80,79,4.38
221,San Ramon,US,2022-01-18 00:59:45,37.7799,-121.978,60.96,65,100,1.99
222,Creel,MX,2022-01-18 01:04:42,27.75,-107.6333,44.8,73,18,7.92
223,Nanortalik,GL,2022-01-18 01:04:43,60.1432,-45.2371,21.07,70,91,13.18
224,Espirito Santo Do Pinhal,BR,2022-01-18 01:00:18,-22.1158,-46.6828,66.33,91,98,3.53
225,Jizan,SA,2022-01-18 01:04:43,17.3333,42.6667,77.88,76,89,6.06
226,Ahipara,NZ,2022-01-18 01:04:44,-35.1667,173.1667,73.98,54,5,10.07
227,Clyde River,CA,2022-01-18 01:03:16,70.4692,-68.5914,-24.12,86,29,5.19
228,Cedar City,US,2022-01-18 01:04:45,37.6775,-113.0619,38.17,65,0,0.0
229,Grao Mogol,BR,2022-01-18 01:04:45,-16.5594,-42.8897,68.43,77,100,2.21
230,Catabola,AO,2022-01-18 01:04:46,-12.15,17.2833,62.56,79,100,4.63
231,Ponta Do Sol,PT,2022-01-18 01:04:46,32.6667,-17.1,66.0,94,100,12.33
232,Paamiut,GL,2022-01-18 01:04:47,61.994,-49.6678,7.63,80,89,10.98
233,Macia,MZ,2022-01-18 01:04:47,-25.0269,33.0989,69.26,91,8,3.58
234,Port Elizabeth,ZA,2022-01-18 01:00:16,-33.918,25.5701,69.1,95,12,7.9
235,Fairbanks,US,2022-01-18 01:04:47,64.8378,-147.7164,-0.76,80,100,5.75
236,Iquique,CL,2022-01-18 01:04:48,-20.2208,-70.1431,69.84,77,43,2.71
237,Nyurba,RU,2022-01-18 01:04:48,63.2842,118.3319,-38.07,100,46,1.7
238,Samarai,PG,2022-01-18 01:04:48,-10.6167,150.6667,84.42,69,72,11.25
239,Stornoway,GB,2022-01-18 01:04:49,58.2093,-6.3865,46.36,83,75,7.0
240,Kisangani,CD,2022-01-18 01:04:49,0.5167,25.2,69.8,92,100,0.76
241,Cilegon,ID,2022-01-18 01:04:49,-6.0174,106.0538,78.69,78,100,6.8
242,Manggar,ID,2022-01-18 01:04:50,-2.8833,108.2667,80.04,83,100,12.84
243,Parangan,PH,2022-01-18 01:04:50,5.0839,119.9383,79.47,83,100,14.32
244,Rawson,AR,2022-01-18 01:04:51,-43.3002,-65.1023,55.74,52,58,12.93
245,Katsuura,JP,2022-01-18 01:04:51,35.1333,140.3,44.19,37,87,6.93
246,Basco,PH,2022-01-18 01:04:51,20.4487,121.9702,74.44,70,100,12.77
247,Hokitika,NZ,2022-01-18 01:04:52,-42.7167,170.9667,70.56,74,18,8.39
248,San Cosme Y Damian,PY,2022-01-18 01:04:52,-27.3167,-56.35,91.58,30,5,6.33
249,Kaitangata,NZ,2022-01-18 01:04:52,-46.2817,169.8464,69.93,80,100,7.27
250,Henties Bay,NA,2022-01-18 01:04:53,-22.116,14.2845,68.86,89,100,3.69
251,Grindavik,IS,2022-01-18 01:04:53,63.8424,-22.4338,39.67,93,100,23.02
252,High Level,CA,2022-01-18 01:01:02,58.5169,-117.136,-9.04,92,98,7.4
253,Cabo San Lucas,MX,2022-01-18 01:01:04,22.8909,-109.9124,77.18,69,100,2.95
254,Luderitz,NA,2022-01-18 01:04:54,-26.6481,15.1594,66.65,91,42,6.17
255,Chuguyevka,RU,2022-01-18 01:04:54,44.1653,133.8633,3.9,90,100,5.91
256,Golden,US,2022-01-18 01:04:55,39.7555,-105.2211,48.87,43,75,1.01
257,Jinxiang,CN,2022-01-18 01:04:55,27.4327,120.6062,49.87,84,100,8.86
258,Atescatempa,GT,2022-01-18 01:04:55,14.1744,-89.7425,73.65,53,0,2.3
259,Geraldton,AU,2022-01-18 01:00:44,-28.7667,114.6,97.21,24,0,27.63
260,Anqing,CN,2022-01-18 01:04:56,30.5092,117.0506,45.7,74,5,3.94
261,Greenwood,US,2022-01-18 01:02:46,34.1668,-82.1165,37.54,78,0,3.0
262,Saint Anthony,US,2022-01-18 01:00:20,45.0205,-93.218,30.34,98,90,2.19
263,Bambous Virieux,MU,2022-01-18 01:04:56,-20.3428,57.7575,78.22,88,20,4.61
264,Lorengau,PG,2022-01-18 01:01:16,-2.0226,147.2712,83.16,80,90,7.02
